Name,Price,Link,Img_url
"강원 평창수 무라벨, 2L, 30개","19,800",https://www.coupang.com/vp/products/5269360716?itemId=13064287016&vendorItemId=86495568256,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/457658229020642-69e27dc9-cc3c-42a2-8357-9a4526ab52a2.jpg
"백산수 생수, 1L, 36개","33,900",https://www.coupang.com/vp/products/4876313878?itemId=18122607332&vendorItemId=86985122146,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/253404941451424-63158d46-6f06-48d0-922d-433725f2e299.jpg
"동원 샘물 무라벨 2L x 24병 생수 물 2리터, 24개","14,800",https://www.coupang.com/vp/products/7153229496?itemId=17988036631&vendorItemId=86013951233,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/0e24/9ca1243dc3aa7d0c9235f1a7843264b118e68a097387c2fff5ec0e39fe9e.jpg
"탐사 베이직수, 2L, 12개","5,990",https://www.coupang.com/vp/products/7476419502?itemId=19529509106&vendorItemId=86637986223,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/257270326002-5717462f-3591-4228-956a-a45b94a249de.jpg
"제주삼다수 그린, 330ml, 80개","34,400",https://www.coupang.com/vp/products/7666070794?itemId=14096771867&vendorItemId=86469906901,https://thumbnail6.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/618477307803704-e296eca5-5cd3-4dda-8fe9-3c2d278bd384.jpg
"오리온 닥터유 제주용암수, 2L, 18개","13,300",https://www.coupang.com/vp/products/4944747674?itemId=19547724956&vendorItemId=86433745874,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/4229092619550547-ead288d3-c977-423e-befd-61222c66c4d0.jpg
"백산수 생수, 1L, 12개","8,030",https://www.coupang.com/vp/products/4876313878?itemId=17929544865&vendorItemId=86952827480,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/cc4e/4eba6b63b543bfc86e142b80dcbe9c27fb0b43ad6e821e14a1c044a8fd2f.jpg
"풀무원샘물 무라벨 생수, 500ml, 20개","2,330",https://www.coupang.com/vp/products/6239512369?itemId=18361612462&vendorItemId=84060770218,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/05d2/8099b6bcc18fd41b433207c26ffb90aee8135457ca4ceb640152bbe2aa9e.jpg
"휘오 다이아몬드 EC 네추럴 미네랄 워터, 500ml, 20개","7,590",https://www.coupang.com/vp/products/2213229154?itemId=17266051408&vendorItemId=72825134565,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/694f/59dbb5806af8873e87f9b73d373dfdf79b1a93054d29df3fa1c0c5e5934d.PNG
"풀무원샘물 무라벨 생수, 2L, 18개","10,690",https://www.coupang.com/vp/products/6239512369?itemId=12586277097&vendorItemId=86494123951,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/144e04e7-398e-413c-bac0-68e3fbd3ed22901725549770354870.png
"지리산물하나 ECO 생수, 2L, 24개","17,800",https://www.coupang.com/vp/products/6778991635?itemId=19343174620&vendorItemId=88410280017,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/a5458a57-b748-40a1-83b5-6e8615d68b013930847789484899511.png
"커클랜드 코스트코 먹는샘물2L 생수 풀무원, 2L, 24개","14,800",https://www.coupang.com/vp/products/3560460?itemId=22422134713&vendorItemId=89465286712,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/92db/c3a61727b45ecde08009680a0e0e7ae214aa001d579b854be77a026dbd02.jpg
"스파클 생수 무라벨, 330ml, 80개","16,110",https://www.coupang.com/vp/products/6830320694?itemId=16350457226&vendorItemId=83406358944,https://thumbnail10.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/899d/76e8484696aea99f89c674a4fcadf6a0f144a12aef6cd7d9e13f33981568.jpg
"탐사수 무라벨, 500ml, 120개","23,690",https://www.coupang.com/vp/products/5625704601?itemId=19013169966&vendorItemId=86137790403,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/c4b38f2c-a206-428c-af88-e0e7d6cfc7724241863005149340588.png
"지리산 물하나, 2L, 36개","18,190",https://www.coupang.com/vp/products/6641250902?itemId=15134668796&vendorItemId=88103613692,https://thumbnail9.coupangcdn.com/thumbnails/remote/700x700ex/image/retail/images/54241c01-9965-4b2a-92db-ce749a0e5d0f3617484507725818816.png
"[풀무원샘물] by Nature 2L X 18병, 18개","11,100",https://www.coupang.com/vp/products/7856560668?itemId=13262387094&vendorItemId=81499849311,https://thumbnail7.coupangcdn.com/thumbnails/remote/700x700ex/image/vendor_inventory/2b50/133d12d3c02e49824c051dd7c81f899188365628d5b319ec2a7f71d54111.jpg
